SMILES,Value,CASRN,MW,-log_value
O=C(COC1C=CC(Cl)=CC=1)N1CCN(CC2=CC3OCOC=3C=C2)CC1,4482.0,34161-23-4,388.88,-1.0616562441325565
C(C1NCCN=1)C1=CC=CC2C=CC=CC1=2,1260.0,5144-52-5,210.3,-0.7775312724312418
CCCCC(OC1C=CC(=CC=1C=O)[N+]([O-])=O)C(O)=O,500.0,335153-21-4,281.29,-0.24981571128214045
CC(C)[N+]([O-])=O,720.0,79-46-9,89.11,-0.9074060527633562
CC1C=CC(=CC=1)C(C)=O,1400.0,122-00-9,134.19,-1.0184078827859187
CC(C)(S)C(=O)NC(CS)C(O)=O,3900.0,65002-17-7,223.35,-1.2420786502186418
CCOP(O)(=O)CCCl,1250.0,23510-39-6,172.56,-0.8599698809135677
O=C(NC1C=C(Cl)C(OC2=NC=C(C=C2Cl)C(F)(F)F)=C(Cl)C=1)NC(=O)C1C(F)=CC=CC=1F,445.0,71422-67-8,540.67,0.08457226169083878
COC1=CC2C(CC(=O)C(C(=O)OCC)C(C)=O)=C(C)N(C=2C=C1)C(=O)C1C=CC(Cl)=CC=1,175.0,57846-36-3,469.95,0.42901360525109195
CCCCCCC(C)I,8200.0,557-36-8,240.15,-1.5333312614087358
CC12CCCC(=CC=C3CC(O)CC(O)C3=C)C1CCC2C(C)CCCC(O)(C(F)(F)F)C(F)(F)F,0.0417,83805-11-2,524.65,4.0997336222247975
COCCOCCO,6310.0,111-77-3,120.17,-1.7202332980717743
OC(=O)C1=CC(=CC=C1)OC1C=CC(=CC=1Cl)C(F)(F)F,1170.0,63734-62-3,316.67,-0.5675789396801747
CCCCCC1C=CC=CC=1O,700.0,136-81-2,164.27,-0.6295397828730948
CC1(C)C=C(C)C2C=C(CC3=CC4=C(C=C3)NC(C)(C)C=C4C)C=CC=2N1,5000.0,41208-07-5,358.57,-1.1443960531295843
CCCCN(CCO)CCCC,1070.0,102-81-8,173.34,-0.790484985457369
CC1=CC=C(C=C1)NN,262.0,637-60-5,122.19,-0.3312656265140853
NC1C=CC(=C(Cl)N=1)[N+]([O-])=O,1783.0,84487-03-6,173.57,-1.0116766797101704
CCCCNC1C=CC=CC=1,1620.0,1126-78-9,149.26,-1.0355715772582545
CC1C(Cl)=C(Br)C=C2NC(=NC2=1)C(F)(F)F,30.0,89427-21-4,313.51,1.0191301433196567
O=CNC1C=CC(Br)=CC=1,1120.0,2617-78-9,200.04,-0.7481011767945515
CC1C=CC(=CC=1)C(C)(C)C,1555.0,98-51-1,148.27,-1.02067710580348
CN(C)CC1=CC(CN(C)C)=C(O)C(CN(C)C)=C1,2169.0,90-72-2,265.45,-0.9122768223370175
C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1,2150.0,6724-53-4,277.55,-0.8890972282477259
[O-][N+](=NC1C=CC=CC=1)C1C=CC=CC=1,620.0,495-48-7,198.24,-0.4952004004662656
CCS(=O)(=O)CCOP(=S)(OCC)OCC,90.0,4891-54-7,290.38,0.5087241914704368
CC1(CNC(=NC1)C(OCC)C1=CC(F)=CC=C1)CC,165.0,33210-49-0,278.41,0.22720088610257302
CC1(C)CO1,3890.0,558-30-5,72.12,-1.7318938832753434
CCC(=O)N1C2=CC=CC=C2N(C2CCN(CCC(C#N)(C3C=CC=CC=3)C3C=CC=CC=3)CC2)C1=O,141.0,15301-48-1,492.67,0.5433370050668006
CCOC(C1=CC=CC=C1)C1NCC(O)CN=1,1750.0,33236-11-2,234.33,-0.8732101561609664
COC(=O)C(C)=CC1C(C(=O)OC2CC(=O)C(CC=CC=C)=C2C)C1(C)C,600.0,121-29-9,372.5,-0.20702497329933198
CCC(=O)OC(COC(=O)CC)COC(=O)CC,6400.0,139-45-7,260.32,-1.3906724383911035
CCCCCO,3645.0,71-41-0,88.17,-1.6163766918617184
CC(C)(C)C(CSC)=NOC(=O)NC,8.5,39196-18-4,218.36,1.4097541599196308
OC(=O)C1N=C(Cl)C=CC=1Cl,4300.0,1702-17-6,192.0,-1.350167226876037
O=C1C(=C(Cl)Cl)C(=O)C(Cl)=C1Cl,2300.0,18964-31-3,245.86,-0.9710399587320823
C1CN1C1N=C(N=C(N=1)N1CC1)N1CC1,13.0,51-18-3,204.27,1.1962612365911687
CC(C)OC(=O)OC1C(=CC(=CC=1[N+]([O-])=O)[N+]([O-])=O)C(C)CC,59.0,973-21-7,326.34,0.7428182975566705
OS(=O)(=O)C1=CC2C=C(C(N=NC3C=CC=CC=3)C(=O)C=2C(=C1)NC1N=C(Cl)N=C(Cl)N=1)S(O)(=O)=O,7460.0,6522-86-7,571.41,-1.1157909909589918
C=CC(Cl)=C(Cl)Cl,680.0,7/5/2852,157.42,-0.6354490046460282
CC(=O)CC(C)(C)O,3002.0,123-42-2,116.18,-1.4122793157670417
CSCCSP(=O)(OC)OC,20.0,2587-90-8,216.29,1.0340064449715327
OC(=O)C1=CC=C(C2C1=C(C=CC=2C(O)=O)C(O)=O)C(O)=O,7500.0,128-97-2,304.22,-1.3918735013929375
O=C1OCCO1,10000.0,96-49-1,88.07,-2.055172003656784
CC1=C(C=CC(CCOCC)=C1C)OCC/N=C1\NC=NC(CC)=C\1Cl,115.0,105779-78-0,377.96,0.516747999963818
CC(C)=CC1C(C(=O)OCC2=CC=C(CC#C)O2)C1(C)C,10000.0,23031-38-1,286.4,-1.5430269863641821
CC(C)=CC(=O)OCC,11600.0,638-10-8,128.19,-1.9566038416900595
CCCC1=CC(OC)=C(O)C=C1,2600.0,2785-87-7,166.24,-1.1942378177577158
CNC(=O)OC1=CC=CC=C1C(OC)OC,160.0,6884-59-9,225.27,0.14858337639162333
CC(=O)NCCSP(=S)(OC)OC,220.0,13265-60-6,243.32,0.04375512696867944
CCN1CCCC1CNC(=O)C1=CC(=CC=C1OC)S(N)(=O)=O,2600.0,23672-07-3,341.48,-0.8816080752211823
CC(C)OC1=CC=CC=C1N,840.0,29026-74-2,151.23,-0.7446413339040686
CCOP(=O)(OCC)SCSP(=S)(OCC)OCC,35.12,17356-42-2,368.46,1.0208358405317468
O=C1NC2C=C(Br)C=CC=2O1,1050.0,14733-73-4,214.02,-0.6907349393479404
COC1(C)CC(C2C(=O)OC3=CC=CC=C3C=2O1)C1C=CC=CC=1,4000.0,518-20-7,322.38,-1.093691900375625
CC(N)CC1C=CC=CC=1,38.0,51-64-9,135.23,0.5512894514175355
CN1CCC(CC1)N1N=C(C(CC2C=CC=CC=2)C1=O)C1C=CC=CC=1,2700.0,53-89-4,347.5,-0.8904089552328547
ClC1=CC(Cl)=C(C=C1)C1(CC(Br)CO1)CN1C=NC=N1,328.0,116255-48-2,377.08,0.060559654697706515
CC1=CC(C2CCCCC2)=C(O)C=C1,1871.0,1596-09-4,190.31,-0.9926121782423369
NC(=N)NC(=N)NCCC1C=CC=CC=1,650.0,114-86-3,205.3,-0.5005244072722637
CC=CCC#N,46.6,4635-87-4,81.13,0.24079555928785262
CC(CC)OC(CBr)C1C=CC(Cl)=CC=1,250.0,21395-07-3,291.63,0.06689218917793069
CC(CC1C=CC(=CC=1)OC)NCC(O)C1=CC(NC=O)=C(O)C=C1,3130.0,73573-87-2,344.45,-0.9584181484582819
COP(=O)(OC(=CCl)C1C=C(Cl)C(Cl)=CC=1Cl)OC,4000.0,961-11-5,365.96,-1.038626372405199
CCC1COP(=O)(Cl)OC1CCC,25.0,10140-93-9,226.66,0.9574348757595741
CCN1C(=O)C=CC1=O,25.0,128-53-0,125.14,0.6994561419694649
O=C1C(=O)CC1=O,41.0,31876-38-7,98.06,0.378708032190424
CNC(=S)NN,16.0,6610-29-3,105.19,0.8178544724541355
CCO[Si](C)(C)C1C=CC=CC=1,2460.0,1825-58-7,180.35,-1.1348189604489973
CCCCCC(=O)OCC=C,218.0,123-68-2,156.25,-0.144636467588492
COC1C=C2OC3OC=CC3C2=C2OC3=CC=CC(O)=C3C(=O)C=12,166.0,10048-13-2,324.3,0.29083886063291764
NC1=CC(=C(Cl)C=C1)[N+]([O-])=O,400.0,635-22-3,172.58,-0.3650695266748147
ClCC1CS1,40.0,3221-15-6,108.6,0.43376983392486573
COC1=CC2=C(C=C1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC34,1.0,357-57-3,394.51,2.596058016138028
CC(=O)OC(C=C)C#N,31.6,15667-63-7,125.14,0.5977090680230986
CCC(=C)C(=O)C1=CC=C(OCC(O)=O)C(Cl)=C1Cl,1000.0,58-54-8,303.15,-0.5183424274290148
C1C=CC2C=CC=C(OCC3CNCCO3)C=21,502.0,65043-22-3,231.32,-0.33649053351346236
COC1=CC=C(C=C1C(=O)NCCN(CC)CC)S(C)(=O)=O,4840.0,51012-33-0,328.48,-1.1683364296178957
CC(Cl)C(NC(=O)C1CC(CCC)CN1C)C1OC(SC)C(O)C(O)C1O,2193.0,21462-39-5,425.05,-0.7125986111640146
CCN(CC)C(=S)N=NCC1=CC=C(O1)[N+]([O-])=O,750.0,14052-72-3,270.35,-0.4431348894800565
[O-][N+]1C=C[N+]([O-])=C2C=CC=CC=12,500.0,2423-66-7,162.16,-0.4890262686510666
CCCCOC(=O)C1C=CC=CC=1,735.0,136-60-7,178.25,-0.6152578005602917
CN(C)N=NC1C=CC(=CC=1)[N+]([O-])=O,1664.0,7227-92-1,194.22,-0.9328593721684884
COC(C)CC(O)=O,3030.0,10024-70-1,118.15,-1.4090089025339172
NS(=O)(=O)OCC(Cl)(Cl)Cl,5000.0,69226-51-3,228.49,-1.3401028066691145
CC1(C=C)OC(=O)N(C2C=C(Cl)C=C(Cl)C=2)C1=O,10000.0,50471-44-8,286.12,-1.5434517836276072
CO,7400.0,67-56-1,32.05,-2.36340368587614
C1=CC=C2C=CC=CC2=C1NC1C=CC=CC=1,1625.0,90-30-2,219.3,-0.8698147336373703
CCOC(=O)C1(CCCN(C)CC1)C1C=CC=CC=1,355.0,77-15-6,261.4,-0.1329227698105686
CCP(=S)(OC1C=C(Cl)C=CC=1Cl)OCC,19.0,7260-35-7,299.17,1.197164440486639
CCN(CC(F)(F)F)N=O,960.0,82018-90-4,156.13,-0.7887848733298256
CCCCCC(C)NC,320.0,5787-73-5,129.28,-0.393618634889395
CCCCCCCCCCCCCCCCCCOCCO,1900.0,9005-00-9,314.62,-0.7809672742308609
CN(C)C(=S)SSC(=S)N(C)C,560.0,137-26-8,240.48,-0.36710906376336755
CN1C(=O)C(SC1=CC(=O)OCC)N1CCCCC1,10250.0,73-09-6,284.42,-1.5567637333050663
N#CCC(O)=O,1500.0,372-09-8,85.07,-1.2463148262507793
OCC(Br)C(Br)CO,2460.0,1947-58-6,247.92,-0.9966235438721526
CCCOC(=O)NCCCN(C)C,2000.0,25606-41-1,188.31,-1.0261566122936079
OCCN1CCN(CCC=C2C3C=CC=CC=3SC3C=CC(Cl)=CC=32)CC1,660.0,633-59-0,401.01,-0.21638873277039336
O=C(CN1C=NC=C1)C1=CC2CC3=CC=CC=C3C=2C=C1,4550.0,98216-44-5,274.34,-1.2197222623563635
CCC1OCSC1=NOC(=O)NC,24.0,54266-79-4,204.28,0.9300146074718965
CC1=CC=C(C=C1)S(=O)(=O)NCl,935.0,127-65-1,205.68,-0.6576195472377135
CC1C=CC=C(C)C=1N(OC)C(C)C(=O)OC,566.0,123298-28-2,237.33,-0.37746379195551216
O=S(=O)(SC(Cl)(Cl)Cl)C(Cl)Cl,3620.0,31335-41-8,298.42,-1.0838806444987243
[O-][N+](=O)C1=NC=CS1,137.0,1606-76-4,130.14,-0.02230976475856992
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)O)OC,1270.0,81103-11-9,748.08,-0.22985567696751097
COC1C=C(O)C(=CC=1)C(=O)C1C=CC=CC=1,11600.0,131-57-7,228.26,-1.706028176296875
O=S(=O)(Cl)CCl,372.0,3518-65-8,149.0,-0.39735667146962345
CCN(CC)C1C=CC(N)=CC=1,200.0,2198-58-5,164.28,-0.08544530148236636
CCCOC(=O)CCC(=O)OCCC,6490.0,925-15-5,202.28,-1.5062917518398622
CC1CC(C)(C)N(N=1)C(=N)N=C(N)N,4090.0,74277-15-9,196.3,-1.3188030084073357
CCCCCCCCC=CCCCCCCCC1=NCCN1CCO,1085.0,95-38-5,350.66,-0.49054350971406135
CC1C=C(C=CC=1)NC(N)=O,1330.0,63-99-0,150.2,-0.9471817082989362
CCCC(=O)OCC=C,250.0,2051-78-7,128.19,-0.2900858611351787
CSP(SC)SC,105.0,816-80-8,172.3,0.21509597837809044
ClCC(Cl)=CCl,616.0,96-19-5,145.41,-0.6269864377220038
C[N+](C)(C)CCCCCCBr,2000.0,32765-81-4,223.21,-0.9523163481962279
C#N,6.44,143-33-9,27.03,0.6229601783389133
O=C1C(Cl)=C(Cl)C(Cl)(Cl)C1(Cl)Cl,178.0,2514-52-5,288.75,0.21010199059130674
CC(C)C1C=CC(=CC=1)C(OCC)C1NCC(C)(C)CN=1,220.0,33236-08-7,288.48,0.1176930285561205
NNC(=O)C(N)CS,1050.0,58100-26-8,135.22,-0.890148367469839
CC(NC(C)(C)C)C(=O)C1C=C(Cl)C=CC=1,482.0,31677-93-7,239.77,-0.3032521949618678
CC(CN1CCN(CCOCCO)CC1)CN1C2=CC=CC=C2SC2=CC=CC=C12,400.0,2470-73-7,427.67,0.029048795306176756
ClC1C=CC(=CC=1)SN=NC1=CC(Cl)=C(Cl)C=C1Cl,4000.0,2274-74-0,352.07,-1.055430971056236
CCOP(=S)(OC1C=C(Cl)C(Br)=CC=1Cl)OCC,52.0,4824-78-6,394.06,0.8795590093710519
C1C(N=C2SCCN21)C1C=CC=CC=1,480.0,5086-74-8,204.32,-0.3709303574562472
CC(CC(=O)NCC(CCCC)CC)OC(=O)CCC(O)=O,12100.0,32838-28-1,315.46,-1.583841071334051
CCCC(=O)OC(Cl)C(Cl)(Cl)Cl,1480.0,36597-90-7,253.94,-0.7655306001414618
CC1(C)CN(NC1=O)C1C=CC=CC=1,30.0,2654-58-2,190.27,0.8022490634594457
CCOP(=S)(N=C1SCCS1)OCC,14.0,333-29-9,271.4,1.2874818076454801
CO[Si](CCCNCCN)(OC)OC,2574.0,1760-24-3,222.41,-1.0634542324677734
OC(=O)C1CCCCC1,3265.0,98-89-5,128.19,-1.4060290380742337
CC(CC(CC(OC)OC)OC)OC,4090.0,25724-11-2,206.32,-1.2971819788774608
CC(C)(C)C(O)C(CC1=CC=C(Cl)C=C1)N1C=NC=N1,1300.0,76738-62-0,293.83,-0.6458472171857733
CC(=O)C1(O)CC2C(C(C1)OC1CC(N)C(O)C(C)O1)=C(O)C1=C(C(=O)C3C=CC=C(OC)C=3C1=O)C=2O,290.0,23541-50-6,527.57,0.25988209374245075
OS(=O)(=O)C1C=C2C3=NC4NC(N=C5N=C(N=C6NC(=NC(=N3)C2=CC=1)C1=CC=CC=C16)C1=CC=CC=C15)=C1C=CC=CC1=4,3600.0,30638-08-5,594.65,-0.782041077547966
CCOC1C=CC(=CC=1)NCCC#N,4600.0,23609-20-3,190.27,-1.3833875135024658
CC(=O)CC(=O)NC1C=CC=CC=1C,1600.0,93-68-5,191.25,-0.9225185388302696
CC(=O)CCCO,6400.0,1071-73-4,102.15,-1.7969416030154208
COP(=S)(OCC)SCN1C(=O)C2=CC=CC=C2C1=O,50.0,13104-29-5,331.38,0.821356289271302
CC1OC=CC=1C(=O)NC1C=CC=CC=1,12900.0,24691-80-3,201.24,-1.8068754016455384
COC1C(CC=C(C)CCC(O)=O)=C(O)C2=C(COC2=O)C=1C,352.0,24280-93-1,320.37,-0.040890822247139864
CC(C)(C)N(NC(=O)C1C=CC(Cl)=CC=1)C(=O)C1C=CC=CC=1,2850.0,112226-61-6,330.84,-0.9352268478551117
C1CNCCN1,4900.0,110-85-0,86.16,-1.7548903897385886
OC1=CC2C=CC=CC=2C=C1C(O)=O,823.0,92-70-6,188.19,-0.640803292955273
FC(Cl)C(F)(Cl)Cl,7800.0,354-15-4,169.38,-1.6632324741599174
NC1C=C(N)C(O)=CC=1,240.0,137-09-7,124.16,-0.28622953779749283
CC(C)(C)NCCOCCO,1713.01,87787-67-5,161.28,-1.0261793834786213
N#CCCC1(CCC#N)C2=CC=CC=C2C2=CC=CC=C12,2180.0,4425-97-2,272.37,-0.9032972227866055
CCOC(=O)C1OC1C1C=CC=CC=1,2300.0,121-39-1,192.23,-1.0779066700745337
ClC(Cl)(Cl)C(C1C=CC(Cl)=CC=1)C1C=CC(Cl)=CC=1,87.0,50-29-3,354.48,0.610072484404937
OC(=O)CN(CC(O)=O)CCOCCOCCN(CC(O)=O)CC(O)=O,3587.0,67-42-5,380.4,-0.9744908684105903
CC(C)(COCC1CO1)COCC1CO1,4500.0,17557-23-2,216.31,-1.318135916460938
CC(=N)NP(=S)(OC1C=CC(Cl)=CC=1)OC1C=CC(Cl)=CC=1,3.7,4104-14-7,375.23,2.0060958292903766
O=C1C2C=CC=CC=2C(=O)N1CC1CO1,4700.0,5455-98-1,203.21,-1.364152782089787
CC1=CC(C#N)=C(C)C=C1,3000.0,13730-09-1,131.19,-1.359220522655143
CC1(C)SC2C(NC(=O)C(N)C3C=CC=CC=3)C(=O)N2C1C(O)=O,10000.0,7177-48-2,349.45,-1.4566149551901568
CCO[SiH](Cl)OCC,6300.0,6485-91-2,154.69,-1.609878309995919
CCNC(C)C1C=CC=CC=1,360.0,10137-87-8,149.26,-0.38235906348291077
OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1C=CC=CC=1,750.0,1235-82-1,311.51,-0.38158927058235326
CC(C=CC=C(C)C(=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)=CC=CC=C(C)C=CC=C(C)C(=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,3160.0,94238-00-3,977.08,-0.509756958883079
NCCC1C=C(O)C(O)=CC=1,2859.0,62-31-7,153.2,-1.2709553900614037
CC(CCC(O)=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C21C,1370.0,302-95-4,392.64,-0.5427260261094966
CC(C)=CCCC(C)=O,3500.0,110-93-0,126.22,-1.4429398685115187
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,177.0,319-84-6,290.82,0.21565100374459625
CC(=O)NC(=O)C1=CC=CC=C1O,1800.0,5663-71-8,179.19,-1.0019587356365718
CCC1CN2CCC3C=C(OC)C(=CC=3C2CC1CC1NCCC2=CC(OC)=C(C=C21)OC)OC,0.012,316-42-7,480.71,4.602701910613259
CCCCCCCCCCCCCCCCCC[N+](C)(C)CC(O)CCl,2590.0,3001-63-6,391.18,-0.820923121727645
CC(CC1C=CC=CC=1)NCCN1C=NC2=C1C(=O)N(C)C(=O)N2C,100.0,1892-80-4,341.46,0.5333398359919685
O=S(C(Cl)C(Cl)Cl)C(Cl)C(Cl)Cl,75.0,14788-97-7,312.85,0.62027489592184
CN1CC(O)N(C1=O)C1=NN=C(S1)C(C)(C)C,1542.0,55511-98-3,256.37,-0.7792171703281188
COCC(=O)N(C1C(C)=CC=CC=1C)N1CCOC1=O,1860.0,77732-09-3,278.34,-0.8249373213155131
CC1C=C2SC(=O)NC2=C(C)C=1,2920.0,80567-67-5,179.26,-1.2118994593614039
COC1C=CC(=CC=1Cl)NC(=O)N(C)C,1600.0,19937-59-8,228.7,-0.8448538180491763
CC(C)C(=O)OCC(C)C,12800.0,97-85-8,144.24,-1.9481242559335228
CC(C)(C)N,82.3,75-64-9,73.16,-0.0511261384078906
O=S(=O)(Cl)C1=CC=C(Cl)C=C1,4250.0,98-60-2,211.07,-1.3039624199085789
CC1OC(C)OC(C)OC(C)O1,283.0,108-62-3,176.24,-0.205681951381579
CC(=O)C1C=CC(OCC2=CC=CN3C2=NC=C(CC(O)=O)C3=O)=C(CCC)C=1O,4000.0,112668-63-0,410.46,-0.9887891505197691
O=C(OCCOC(=O)C1C=CC=CC=1)C1C=CC=CC=1,5340.0,9004-86-8,270.3,-1.295695211329831
CC(=O)NC1C=CN=CC=1,446.0,5221-42-1,136.17,-0.5152534212496303
N=C1C(Cl)C(=O)C2C=CC=CC=2C1=O,1360.0,2797-51-5,207.62,-0.8162697216635975
COC1C=CC(C=C2C(=O)N=C3C4=CC=CC=C4N=CN23)=CC=1,258.0,60045-41-2,303.34,0.0703099764669813
ClC1=CNN=C1,527.0,15878-00-9,102.53,-0.7109596578386238
CC(CC(C1C=CC=CC=1)C1C=CC=CC=1)[N+](C)(C)CC,1000.0,3614-30-0,282.49,-0.5489969213726387
COCC(=O)NC1C=C(C=CC=1N=C(NC(=O)OC)NC(=O)OC)SC1C=CC=CC=1,10605.0,58306-30-2,446.53,-1.3756600306878632
OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CCN(CC(O)=O)CC(O)=O,4550.0,140-01-2,393.4,-1.0631770410737946
CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCN)NC1=O)C(C)O,121.0,1264-72-8,1169.69,0.9852854067046601
CS(=O)(=O)F,2.0,558-25-8,98.11,1.6906832800491083
CCCC1C=CC=CC=1O,500.0,644-35-9,136.21,-0.5647610114039352
CCCCSC(=O)OC1C(=CC(=CC=1[N+]([O-])=O)[N+]([O-])=O)C(C)CC,147.0,14355-07-8,356.44,0.3846691002476985
CC1=CC2=C(C=C1C)C(=O)C1=NNN=C1C2=O,980.0,72364-91-1,227.24,-0.6347412950872738
COC1=C(Cl)C=CC2NC(=NC=21)C(F)(F)F,3.155,89427-02-1,250.62,1.9000163620686117
O=S1(=O)CC(Br)CC1,215.0,14008-53-8,199.08,-0.03341082784361982
CC(C(O)=O)C1=CC2NC3C=CC(Cl)=CC=3C=2C=C1,74.0,53716-49-7,273.73,0.5680906776808651
CCOP(=O)(OCC)SCSC1C=C(Cl)C=CC=1Cl,38.0,14734-96-4,361.27,0.9780483024673985
CC1C=C(C(OB(OC(C)C)OC(C)C)=C(C=1)C(C)(C)C)C(C)(C)C,5200.0,2929-87-5,348.39,-1.1739376628765192
CN(C)CCCO,2130.0,3179-63-3,103.19,-1.3147419909852063
CCCCSC(C)C1(CC)C(O)=NC(=O)N=C1O,582.0,67050-64-0,272.41,-0.3296999384388594
CN1CCN(CC1)C1N=C(NC)N=C(Cl)C=1SC,800.0,50335-55-2,287.86,-0.4439086659352597
CC(=O)OC1CC2C3=CC(OC)=C(C=C3CCN2CC1C(=O)N(CC)CC)OC,1050.0,23844-24-8,404.56,-0.41420635844545
ClC1(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C(Cl)=C2Cl,45.0,309-00-2,364.9,0.9089613495893046
CCCCCl,2670.0,109-69-3,92.58,-1.4599940849177833
CC(OC1C=CC(=CC=1)OC1=CC=C(Cl)C=C1Cl)C(O)=O,563.0,40843-25-2,327.17,-0.2357349208538373
CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(O)(=O)=O,1750.0,3006-15-3,366.53,-0.6789285218203455
O=C(C(F)(F)F)C(F)(F)F,190.0,10543-95-0,166.03,-0.05856703304955333
CCCCCCCCCCCCCC[N+](C)(C)C,3900.0,1119-97-7,256.56,-1.1818756601061151
CC(C1C=CC=CC=1)C(C)(C)N,180.0,5585-52-4,163.29,-0.042312916066569874
CC(C)=CCCC(C)=CCOC(C)=O,6330.0,105-87-3,196.32,-1.5084391646344262
CCC1OC2=CC=CC=C2C=1C/C(/NO)=N/CCN1CCOCC1,1900.0,63605-45-8,331.46,-0.7583224749312877
CS(=O)(=O)N(CCI)CCI,2700.0,473-49-4,403.04,-0.8260156140049495
